payrollId,employeeId,month,basicSalary,deductions,netPay,status
1,1,2026-05,30000.0,2000.0,28000.0,Processed
2,2,2026-05,35000.0,2500.0,32500.0,Pending
3,3,2026-05,15000.0,154.86674409999998,14845.1332559,Processed
4,4,2026-05,28000.0,1866.67,26133.33,Processed
5,5,2026-05,42000.0,2800.0,39200.0,Processed
6,6,2026-05,31000.0,2066.67,28933.33,Processed
7,7,2026-05,27000.0,1800.0,25200.0,Processed
8,8,2026-05,32000.0,2133.33,29866.67,Processed
9,9,2026-05,34000.0,2266.67,31733.33,Processed
10,10,2026-05,60000.0,4000.0,56000.0,Processed
11,11,2026-05,25000.0,1666.67,23333.33,Processed
12,12,2026-05,29000.0,1933.33,27066.67,Processed
13,13,2026-05,23000.0,1533.33,21466.67,Processed
14,14,2026-05,20000.0,1333.33,18666.67,Processed
15,15,2026-05,18000.0,1200.0,16800.0,Processed
16,16,2026-05,21000.0,1400.0,19600.0,Processed
17,17,2026-05,33000.0,2200.0,30800.0,Processed
18,18,2026-05,55000.0,3666.67,51333.33,Processed
19,19,2026-05,37000.0,2466.67,34533.33,Processed
20,20,2026-05,26000.0,1733.33,24266.67,Processed
21,21,2026-05,38000.0,2533.33,35466.67,Processed
22,22,2026-05,35000.0,2333.33,32666.67,Processed
23,23,2026-05,42000.0,2800.0,39200.0,Processed
24,24,2026-05,28000.0,1866.67,26133.33,Processed
25,25,2026-05,42000.0,2800.0,39200.0,Processed
26,26,2026-05,31000.0,2066.67,28933.33,Processed
27,27,2026-05,27000.0,1800.0,25200.0,Processed
28,28,2026-05,32000.0,2133.33,29866.67,Processed
29,29,2026-05,34000.0,2266.67,31733.33,Processed
30,30,2026-05,60000.0,4000.0,56000.0,Processed
31,31,2026-05,30000.0,2000.0009999999997,27999.999,Pending
